fact_id,geo_id,date_id,sales_amount
193,11,2,169099005.00
194,11,9,169099005.00
195,11,16,169099005.00
196,11,1,159168879.00
197,11,8,159168879.00
198,11,15,159168879.00
199,12,6,3804118.00
200,12,13,3804118.00
201,12,20,3804118.00
202,12,5,3525689.00
203,12,12,3525689.00
204,12,19,3525689.00
205,12,4,3331758.00
206,12,11,3331758.00
207,12,18,3331758.00
208,12,3,3024257.00
209,12,10,3024257.00
210,12,17,3024257.00
211,12,2,2980781.00
212,12,9,2980781.00
213,12,16,2980781.00
214,12,1,2811421.00
215,12,8,2811421.00
216,12,15,2811421.00
217,13,6,NULL
218,13,13,NULL
219,13,20,NULL
220,13,5,NULL
221,13,12,NULL
222,13,19,NULL
223,13,4,NULL
224,13,11,NULL
225,13,18,NULL
226,13,3,20985041.00
227,13,10,20985041.00
228,13,17,20985041.00
229,13,2,NULL
230,13,9,NULL
231,13,16,NULL
232,13,1,NULL
233,13,8,NULL
234,13,15,NULL
235,14,6,NULL
236,14,13,NULL
237,14,20,NULL
238,14,5,NULL
239,14,12,NULL
240,14,19,NULL
241,14,4,NULL
242,14,11,NULL
243,14,18,NULL
244,14,3,3026894.00
245,14,10,3026894.00
246,14,17,3026894.00
247,14,2,NULL
248,14,9,NULL
249,14,16,NULL
250,14,1,NULL
251,14,8,NULL
252,14,15,NULL
253,15,6,19102002.00
254,15,13,19102002.00
255,15,20,19102002.00
256,15,5,17625799.00
257,15,12,17625799.00
258,15,19,17625799.00
259,15,4,16899046.00
260,15,11,16899046.00
261,15,18,16899046.00
262,15,3,14807752.00
263,15,10,14807752.00
264,15,17,14807752.00
265,15,2,14780388.00
266,15,9,14780388.00
267,15,16,14780388.00
268,15,1,14486468.00
269,15,8,14486468.00
270,15,15,14486468.00
271,16,6,1100910.00
272,16,13,1100910.00
273,16,20,1100910.00
274,16,5,1002919.00
275,16,12,1002919.00
276,16,19,1002919.00
277,16,4,1035278.00
278,16,11,1035278.00
279,16,18,1035278.00
280,16,3,813875.00
281,16,10,813875.00
282,16,17,813875.00
283,16,2,729442.00
284,16,9,729442.00
285,16,16,729442.00
286,16,1,746637.00
287,16,8,746637.00
288,16,15,746637.00
289,17,6,4349368.00
290,17,13,4349368.00
291,17,20,4349368.00
292,17,5,3962689.00
293,17,12,3962689.00
294,17,19,3962689.00
295,17,4,3793437.00
296,17,11,3793437.00
297,17,18,3793437.00
298,17,3,3312161.00
299,17,10,3312161.00
300,17,17,3312161.00
301,17,2,3222429.00
302,17,9,3222429.00
303,17,16,3222429.00
304,17,1,3119297.00
305,17,8,3119297.00
